제목,내용,글_라벨
폰으로 몸들썩거리는거 보니까 존나멀미나네,몸에 무슨 설명써놧는데 읽을려하는데 존나 들썩거려서 멀미존나남,LABEL_1
님아 닉 쿠쿠임?,영어로?,clean
롤체 1/8,너만오면고,clean
지듣노,"https://www.youtube.com/watch?v=_XdwYtDT910
어때?",clean
뭔 이란사람이 말거냐,내가말걸엇을때 이런느낌일까,clean
오늘의교훈,중국인은 중국인이다,clean
놀자,ㄴㅎㄹ다,clean
나 피티시켜줘,나좀가르쳐줘,clean
재강님 현성님 수호님 다들 어찌사나요,사회나가서는 정상인 모드로 잘 살고 있는거죠?,clean
심,,LABEL_9
재강이형 민규형 살아있음?,"추억의 성갤 찐 형들인데
다들 어떻게살아?
대학원끝나고 취업까지는 한걸로아는데
둘다 결혼함?",clean
설날에,브이알챗이나할까,clean
tlatlagkekrh,tlatlago,clean
5일만에 말걸엇는데 칼답오네요,얼쑤 지화자좋다,clean
도쿄뭐할지추천좀,,LABEL_1
배,고파,LABEL_9
몇시어디,네,clean
토익 1트 딱코 ㅁㅌㅊ,"공기업도 800~850이 만점이네
그만해도될듯",clean
썰언제품,ㅇ,clean
엄마가 하루종일 유시민 김어준봄,와 진짜 미칠것같은데 뭐라할수도없고 ㅇㅇ,clean
님아놀아요,네,clean
음 한국의 미세먼지냅새,이냄새지,clean
착하시잖아,,LABEL_9
나는 띵콩땅콩,예,clean
원신 픽업두개 비틱쳐서 다뽑았다,70뽑컷,clean
새해복많이,받으세요,clean
우리할머니이쁘죠,"https://youtu.be/9qnm_stDkrk?si=xYFJT7ZeKKRPL36c
 원신 | 캐릭터 트레일러 - 「시틀라리: 별 헤는 자의 응시」
「절대 흑요석 할머니를 건드리지 마라」시틀라리와 관련된 이 격언(?)은 사실 꽤나 편파적이다. 엄밀히 말하자면 그녀는 연장자로서 상당히 모범적인 인물이다.하지만 밤하늘이 아무리 맑더라도 흉조는 나타날 수 있다. 본인의 운명을 위해서도 별빛을 속이지 않는 편이 좋을 것이다.무료 다운...
youtu.be
- dc official App",clean
님아,전 소프트론 안된대요,clean
무서워,비행기무서워,clean
토익아다떼고왔다,900점 그냥 강간완료,clean
2024년 연말 만화대상 대상은,춤추는 리스폰,clean
학점어케올리는데,"멍청해서수업못따라가는데 ㅇㅇ;
예제봐도 못푸는데 ㅇㅇ;",clean
드럼배우고싶다,네,clean
아 토할거같애,멀미시발,clean
기기뭐가좋나요,네,clean
vr하면 스카이림,젖탱이만지기 들박하기 가능,clean
vr 기기 근데 사긴할거임,"밸브 인덱스로 살거에요
언젠가 << 이게 문제긴함",clean
VR챗하실분 급구,예상답변 )돈받으면어쩌고저쩌고 웅앵거리다 절대안사기,clean
성균관대는 일반 사립과 다름,"잠시 삼성에 위탁한 국립이라고 보면 됨 ㅇㅇ

망할 거 같으면 국가를 상대로 네고할 수 있는 사립대학이 여기 말고 어딨음?",LABEL_1
아오 성적 씨발,,clean
오늘한일,"아이폰에 밴스드깔기
이제 나는 무적이다",clean
심심,2024년을 알차게 보냈읍니까?,clean
근리스마스 에혀,버튜버나봐야겟어,clean
얼른가고싶구나,,LABEL_9
크리스마스에할거,"https://youtube.com/v/iVHZ1QCB0K4?si=lLFcPzYLII3G0xKz
 크리스마스 이브 데이트 모음집
0:00 니지마 마코토5:00 토고 히후미11:00 사쿠라 후타바16:05 오쿠무라 하루20:26 타케미 타에25:30 카와카미 사다요31:55 미후네 치하야38:24 오야 이치코43:45 타카마키 안재생목록 : https://www.youtube.com/playlist?list=...
youtu.be



이거보기",clean
롤체,하자,LABEL_8
보일러 22도해놧는데,"22도로 올라가질않음
머냐",clean
이 갤은 뭐고 성균관대 갤은 뭐죠,성균관대 갤은 뭐 ㅈㄴ 이상한냄새 나던데,clean
센세님,삐진거임 바쁜거임 둘다임,clean
혼자요,,clean
놀자놀자놀자놀자놀자놀자,놀자놀자놀자놀자놀자,clean
하 어떡하냐,며칠내로 전화하자는데,clean
쿠쿠 랩스 << 아직 졸업 못한거임?,2년전에 봤는데 아직도있네,clean
키키라라 << 이사람 아이돌이엇네,ㄷㄷ,clean
E학점 < 왜없음,이상하다그죠,clean
스포티파이 ai 왤케 똑똑함,스포티파이에선 들은적 없는거같은데 어케알고,clean
하씨발 자취방 또구해야하네,"학점컷보니 3.8 4.0 개지랄이네
정시 스나 뽀록으로 하나 안되나",clean
개같네 시발,미친 쪽바리새기들,clean
씨발,개새끼,clean
고귀한 하루 되세요 < 개쳐웃기네,무한도전 느낌 ㅇㅇ,clean
하이퍼버닝 1+4 하고싶네,도파민스토리,clean
지켜보고있다,끼아아아아아아아악,clean
이년 < 3d 모델링 개꼴려짐,"1
이미지 순서 ON

2

3

4

5






이정도면 판때기보다 나은데",clean
심심,해요,clean
이년 < 그냥 노래 존나못함,"https://youtube.com/shorts/UoQfAzMwC-0?si=ELiFkjj9t5BN7K4e
 大阪公演まであと2日‼今日はソワレを見せちゃうよッ?
※ホロライブプロダクションから未成年の視聴者の方々へのお願い [カバー 未成年者の方々へ]で検索してお読みいただくか、下記リンクをご確認の上、お楽しみください。https://www.hololive.tv/request-to-minors
youtube.com



죽어죽어",clean
노래추천 - 만찬가,네,clean
님아 왜 굴보쌈 먹으러가자고하자마자,나감,clean
"대학생,교수 < 지식인 코스프레하는거 개패고싶음",21세기에 지식인이 어딨다고,clean
김건희 특검도 부결이고 탄핵도 200명 없어서 안되는듯,,clean
요즘 휴대폰 사진찍으면 서버 수색도됨?,ai 많이 발전했다,clean
ㅈ됫다,노로걸린듯,clean
보관용,"4년 전에 논술 붙고 신나서 왔었는데
그때랑 분위기도 똑같고 사람들도 똑같은거 같네..
전 성로갑니다 bb",LABEL_1
여자옷입는 정신병자들 처단해야함,윤석열식으로,LABEL_1
오토코노코 메이드카페,버킷리스트,clean
놀자니까???????????????,,clean
드라퀘노래를 국가로 지정하라,"https://youtu.be/hHVrQhlIIgI

키미가~~~~~~요와",clean
와 진짜안되겟다,"12월된 기념으로 치킨먹엇는데

몸이거부함",clean
삼숭상,,LABEL_9
우리나라 역사 한 6년은 결정낫네,6년안에 나갈수잇을까요,clean
놀자고,심심하다니까,clean
진짜로 다 척살하고 대석열 됐어야지 뭐했노,개석열이 뭐했노,clean
이래도 한국에서 살거야?,이래도??,clean
보수안락사는 신석열,,clean
계엄선포기념으로,소녀전선이나켜야겠어요,clean
윤석열씨발병신려낭,ㅋㅋㅋ,clean
유니 빨간약왜래이쁨,ㅁㅊ,clean
애니추천점,회복술사의 재시작 좋아함,clean
갑자기공허해짐,앞으로3주,clean
토할거같아,,clean
재밋네,재밋어,clean
얘도 곧 나갈듯,나 나가요,clean
놀자,고,clean
님아 왜나감,,clean
우하하,좌하하,LABEL_9
스타필드 ㅈㄴ크노잉,네,clean
근데 뭐 그런거아냐?,"겜이나 여캠만 하고싶은데
노래계속 시켜서",clean
홀로 또 졸업하네,나가자마자 100만찍는거 보면 구독자 40%는 따라오는데 나같아도 나갈덧,clean
놀자고샹년아,,LABEL_9
심심하니까,놉시다,clean
행시 준비할 때 여기 종종 왔었는데,군대 간다는 것부터 대학원 얘기까지 관음하던 기억이 새록새록하네요,LABEL_1
거지특,토익 pdf로 공부함,clean
왜 몇 년 전이랑 똑같은 사람들이,있는 것 같지?,clean
초고교급심심,,clean
일상글 왜씀,친구랑 대화를 하셈,clean
제인생 초딩이후로 눈 젤많이옴,,clean
수원에 눈옴?,하 눈봐야하는데 작년엔 조또안오더니 하필 이때오네,LABEL_1
원신다시할까,두창러시 끝났나 귀여운애들 슬슬나오는데,clean
자라,와거북이,clean
랩스야 놀자,랩놀,clean
아니 근데 좀 호감이신게,답장 늦었다고 걍 고봉밥으로 답장함,clean
대댓알림이왓는데,없어짐,clean
교토는 여고생들이,버스기사 부족 걱정하네 역시 갓본,clean
돈벌면 유희왕 반드시,해야죠,clean
놀노로놀놀놀놀자,,clean
극극극극극극극,대노,clean
똥싼거 치울생각하니까 존나좆같네,C+ 4개를 어케치우노 씨발,clean
배고파,심심해,clean
랩스님 이거봄?,,clean
날속인거니,,clean
이여자 다테사유리닮았네,"https://youtube.com/v/86QW48vX9F4?si=Vy9hVHyea_TwRPhh
 라틴녀에게 드립치다 드립으로 쳐맞기
시청해주셔서 감사합니다!
youtube.com


이정도면 쌍둥이아닌가",clean
복학하기싫노,내인생잘못된선택no1좆균관대,clean
저통프사 개많노,다 데리바리임?,clean
어렵다어려워,피지컬게임은안돼,clean
놀자이자이자슥아,,clean
추으버라,이으추버,clean
잼잇는게임없나,할게임이없네 말세다말세,clean
놀자구나,"놀라운
자전거
구나",clean
동덕여대 유일한 남학생되기 vs 재수한번더하기,,clean
랩스미친새기,개새기,clean
성대는 소고기 어우 맛있어,메디컬은 삵고기~,clean
그래서 언제 올라옴,네,clean
전과 5범 축하드립니다,ㅋㅋ,clean
환상에 살았다,,LABEL_9
님저놀,네,clean
초고교급 다쟈레,너무 재미없어서 초고교급 절망,clean
단간 2탄도 재밋네요,3탄은 안해봣니,clean
코로네가 메이플하는거보니까,일본메이플 시작할까,clean
수학주관식특,답 11아니면 13임,clean
근대 사탐하면,의대갈수잇음?,clean
성전환전문의가된 랩스,할인좀요,clean
수능전날 해야되는거,체인소맨 나온거 보세요,clean
수능 전날에 해야할일,,clean
랩스의 수능도시락,메뉴는 뭘까요,clean
인생망했네 씨발,잘못태어났다,clean
디도 졸업생도 이용가능하던가,디도에서 시간좀 때우다 갈까 하는데,clean
에어로스타인가 그거 한국에 언제나옴,나오면함,clean
근데진짜 복기해보면 사소한거1개로 갈림,타임머신있으면 이기는패엿는데 짐,clean
이사람왜 혼자하는거야,,clean
놀자고,,clean
럽코보는애들은 뚜두리맞아야함,만화는무족권 능배물,clean
이반에갸루는없다 세상으로 보내는 트럭,배송이 시작되었습니다,clean
추워잉,추츄,LABEL_9
머놀,머,clean
사기 아니니까 심심하면 검색해봐ㅎ,"트럼프 선거운동때 파이네트워크 링크를 건게 우연은 아니야.

아직은 무료 코인이니까 어서 가입해서 채굴하도록해.

절대 사기 아니니 찜찜하면 유튭 검색해보고 결정하던지.

내 아이디 추천 넣어야 너와 나 둘다 속도 빨라지니까

아래 블로그 잘보고 가입해.


파이코인으로 부자 됩니다. 저만 따라하세요.
출처 : oatlee님의.. | 블로그
-

https://naver.me/FzSzb3hX
 네이버
네이버
naver.me",clean
기시다 최저가 15.5엿대요,과연 따잇할지,clean
근데 내가말한게 이거였음,"단간론파에서 ""이 학교의 도서관에는 30년후에 기밀해제되는 문서가 있다""

그리고 물리실에 산소생성기있고 첨시작할때 우주여행 보여줌

-> 학교탈출하면 30년흘러있고 지구밖이다

이거 같은회사 다른게임에서 써먹은 트릭인데 똑같은건줄알았는데 맥거핀이엇음",clean
